CUS_CUST_ID,semana,processo,cdu,solucao,qtd
23179304,Pre_01-16Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: explicamos los beneficios de usar ME,1
23179304,Pre_01-16Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y mantenemos impacto,1
23179304,Pre_01-16Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: dimensiones por categoría - no reestimamos,1
23179304,Pre_01-16Mar,Reputación,Reclamos,Analizamos reputación - Reclamo revisado,1
23179304,Pre_01-16Mar,Gestiones Operativas,Colecta,Colecta: todo sobre el servicio,1
23179304,Pre_01-16Mar,Reversa,Quiere reclamar por un producto ya devuelto,Devolución entregada: pasaron 3 días hábiles - no cubrimos,1
23179304,Pre_01-16Mar,Reversa,Quiere saber el motivo de inicio de la devolución,Devoluciones: informamos motivo - no bonificamos,1
23179304,S1_17-23Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: cambiamos medidas,12
23179304,S1_17-23Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: usuario en blocklist - no reestimamos,5
23179304,S1_17-23Mar,Reversa,Quiere reclamar por un producto ya devuelto,Devolución entregada: cubrimos al vendedor,5
23179304,S1_17-23Mar,Post Compra Funcionalidades Vendedor,Devoluciones,Devoluciones: Dudas Reversa: Número de devolución -  Debe esperar a que se genere (V),2
23179304,S1_17-23Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y mantenemos impacto,2
23179304,S1_17-23Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y excluimos,1
23179304,S1_17-23Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: pedimos dimensiones del producto,1
23179304,S1_17-23Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Costo de envío: cómo se calcula y condiciones de envío gratis,1
23179304,S1_17-23Mar,Reversa,Quiere saber sobre la acreditación del dinero,Devolución: comprador tiene el producto - cubrimos,1
23179304,S1_17-23Mar,Despacho Ventas y Publicaciones,Problemas para despachar un paquete/producto,Problemas para despachar: no aplica despacho por fuera,1
23179304,S2_24-30Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Cross Docking - No excluimos,4
23179304,S2_24-30Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: cambiamos medidas,4
23179304,S2_24-30Mar,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Cross Docking - Excluimos,3
23179304,S2_24-30Mar,Reputación ME,HT - Colecta,Reputación ME Colecta XD: colecta pendiente,2
23179304,S2_24-30Mar,Despacho Ventas y Publicaciones,Bugs,(sem solucao),2
23179304,S2_24-30Mar,Reputación ME,Análisis masivo de ventas,Gestión masiva - Derivamos a offline,2
23179304,S2_24-30Mar,Reputación ME,Bugs,Gestión Manual - Problema Resuelto,1
23179304,S2_24-30Mar,Reputación ME,HT - Colecta,Reputación ME Colecta XD: Culpa seller - No excluimos,1
23179304,S2_24-30Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: usuario en blocklist - no reestimamos,1
23179304,S2_24-30Mar,Reputación ME,Bugs,General Bugs - Esperando resolución del caso/error,1
23179304,S2_24-30Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación y excluimos,1
23179304,S2_24-30Mar,Reputación ME,Generales,Consulta derivada - Pendiente de respuesta por equipo responsable,1
23179304,S2_24-30Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación revisada,1
23179304,S2_24-30Mar,Reputación ME,HT - Colecta,Reputación ME Colecta XD: Culpa MELI,1
23179304,S3_31Mar-06Abr,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: usuario en blocklist - no reestimamos,2
23179304,S3_31Mar-06Abr,Post Compra Funcionalidades Vendedor,Devoluciones,Devoluciones: Dudas Reversa: Número de devolución -  Debe esperar a que se genere (V),2
23179304,S3_31Mar-06Abr,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: cambiamos medidas,2
23179304,S3_31Mar-06Abr,Reputación ME,HT - Ventas,Reputación ME Ventas: Vendedor newbie - Excluimos,1
23179304,S3_31Mar-06Abr,Reputación ME,HT - Colecta,Reputación ME Colecta XD: colecta pendiente,1
23179304,S3_31Mar-06Abr,Gestiones Operativas,Colecta,Colecta: todo sobre el servicio,1
23179304,S3_31Mar-06Abr,Post Compra Funcionalidades Vendedor,Devoluciones,"Devoluciones - Recibió devolución fallida, guiamos a cómo reclamar",1
23179304,S3_31Mar-06Abr,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Flex - Excluimos,1
23179304,S4_07-13Abr,Post Compra Funcionalidades Vendedor,Devoluciones,Devoluciones: Dudas Reversa: Número de devolución -  Debe esperar a que se genere (V),2
23179304,S4_07-13Abr,Reversa,Quiere reclamar por un producto ya devuelto,Devolución fallida: no es defectuoso - no bonificamos,1
23179304,S4_07-13Abr,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: cambiamos medidas,1
23179304,S4_07-13Abr,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Cross Docking - No excluimos,1
23179304,S4_07-13Abr,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envío a cargo del V: recobro incorrecto - bonificamos,1
23179304,S4_07-13Abr,Reputación,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),1
23179304,S4_07-13Abr,Post Compra Funcionalidades Vendedor,Devoluciones,"Devoluciones - Recibió devolución fallida, guiamos a cómo reclamar",1
23179304,S4_07-13Abr,Reversa,Quiere reclamar por un producto ya devuelto,Devolución entregada: cubrimos al vendedor,1
23179304,S5_14-16Abr,Reputación ME,HT - Ventas,Reputación ME Ventas: Logística Cross Docking - No excluimos,1
23179304,S5_14-16Abr,Despacho Ventas y Publicaciones,(sem CDU),(sem solucao),1
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Fakes,Propiedad Intelectual - Aprobamos factura y reactivamos la publicación,46
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Fakes,Propiedad intelectual - Factura inválida,41
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Fakes,Propiedad intelectual - Pedimos factura (Fakes),11
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Publicación activa,Consultas generales - La publicación se encuentra activa,9
84636219,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),6
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Fakes,Propiedad Intelectual - Publicación anulada por facturas (Fakes),4
