case_id,team
452885038,BR_ME_Sellers_Longtail
452947002,BR_ME_Sellers_Longtail
453321156,BR_ME_Sellers_Longtail
453140189,BR_ME_Sellers_Longtail
453146944,BR_ME_Sellers_Longtail
453282042,BR_ME_Sellers_Longtail
452957649,BR_ME_Sellers_Longtail
452946378,BR_ME_Sellers_Longtail
452948878,BR_ME_Sellers_Longtail
453161248,BR_ME_Sellers_Longtail
453014519,BR_Ventas_Sellers_Longtail
453147319,BR_Ventas_Sellers_Longtail
452910552,BR_Ventas_Sellers_Longtail
452960646,BR_Ventas_Sellers_Longtail
452941100,BR_Ventas_Sellers_Longtail
453127169,BR_Ventas_Sellers_Longtail
452897024,BR_Ventas_Sellers_Longtail
453217105,BR_Ventas_Sellers_Longtail
453246800,BR_Ventas_Sellers_Longtail
453254413,BR_Ventas_Sellers_Longtail
453171436,BR_Ventas_Sellers_Longtail
452822145,BR_Ventas_Sellers_Longtail
452934472,BR_Ventas_Sellers_Longtail
453170680,BR_Ventas_Sellers_Longtail
453166272,BR_Ventas_Sellers_Longtail
453044586,BR_Ventas_Sellers_Longtail
452974278,BR_Ventas_Sellers_Longtail
452891204,BR_Ventas_Sellers_Longtail
452912868,BR_Ventas_Sellers_Longtail
452983694,BR_Ventas_Sellers_Longtail
453187457,BR_Ventas_Sellers_Longtail
452903836,BR_Ventas_Sellers_Longtail
453276295,BR_Ventas_Sellers_Longtail
450431785,BR_Ventas_Sellers_Longtail
451213086,BR_Ventas_Sellers_Longtail
450269173,BR_Ventas_Sellers_Longtail
450035554,BR_Ventas_Sellers_Longtail
450217360,BR_Ventas_Sellers_Longtail
450629715,BR_Ventas_Sellers_Longtail
450616788,BR_Ventas_Sellers_Longtail
450915003,BR_Ventas_Sellers_Longtail
450981598,BR_Ventas_Sellers_Longtail
450827540,BR_Ventas_Sellers_Longtail
450966437,BR_Ventas_Sellers_Longtail
451072904,BR_Ventas_Sellers_Longtail
450047817,BR_Ventas_Sellers_Longtail
450032695,BR_Ventas_Sellers_Longtail
450462096,BR_Ventas_Sellers_Longtail
450632090,BR_Ventas_Sellers_Longtail
450992069,BR_Ventas_Sellers_Longtail
451360927,BR_Ventas_Sellers_Longtail
450019646,BR_Ventas_Sellers_Longtail
450427611,BR_Ventas_Sellers_Longtail
450594351,BR_Ventas_Sellers_Longtail
450540628,BR_Ventas_Sellers_Longtail
450284854,BR_Ventas_Sellers_Longtail
450260796,BR_ME_Sellers_Longtail
450429112,BR_ME_Sellers_Longtail
451153064,BR_ME_Sellers_Longtail
451359288,BR_ME_Sellers_Longtail
451317924,BR_ME_Sellers_Longtail
450180383,BR_ME_Sellers_Longtail
450392026,BR_ME_Sellers_Longtail
450442802,BR_ME_Sellers_Longtail
450923136,BR_ME_Sellers_Longtail
450883072,BR_ME_Sellers_Longtail
450173305,BR_ME_Sellers_Longtail
450333836,BR_ME_Sellers_Longtail
450428912,BR_ME_Sellers_Longtail
450647102,BR_ME_Sellers_Longtail
450717208,BR_ME_Sellers_Longtail
450713733,BR_ME_Sellers_Longtail
450940417,BR_ME_Sellers_Longtail
450189396,BR_ME_Sellers_Longtail
450264138,BR_ME_Sellers_Longtail
450346783,BR_ME_Sellers_Longtail
450679192,BR_ME_Sellers_Longtail
450929584,BR_ME_Sellers_Longtail
450977102,BR_ME_Sellers_Longtail
448563710,BR_Ventas_Sellers_Longtail
449080689,BR_Ventas_Sellers_Longtail
449206636,BR_Ventas_Sellers_Longtail
449810203,BR_Ventas_Sellers_Longtail
448861605,BR_Ventas_Sellers_Longtail
